time_percent,avg_position_m,std_position_m,avg_speed_mps,std_speed_mps,avg_queuing_vehicles,std_queuing_vehicles,avg_velocity_deviation,std_velocity_deviation
34.0,187.9548,125.43198526970701,8.9416,6.876738420210558,2.0,,6.876738420210558,
34.5,196.66763636363638,102.04474414939682,9.547272727272727,4.842299921374266,1.2857142857142858,1.3801311186847085,4.376791352224907,1.7908080333166525
35.0,207.9992298076923,110.71637063666246,9.837136538461538,5.060328226696123,1.02803738317757,0.9925349905752062,4.483002204395961,2.3228621348991436
35.5,188.83240517241381,106.21496220704078,11.261379310344827,4.102153156056235,0.56,0.7118052168020874,3.6596860186897793,2.6056757496863496
36.0,152.7744,83.73591144014085,12.6708,3.318168865838841,0.0,0.0,3.628975731679528,1.0001899291778171
36.5,213.81273622047246,109.45649120490229,9.440444881889764,5.165222795280748,1.3048543689320389,1.2437687988745463,4.500957276795574,2.1336782784372588
37.0,205.61647086614173,107.12564257356146,9.681111811023623,5.003379786263069,1.2155172413793103,1.185462921744322,4.4406787817383755,2.0468667752098253
38.0,241.67458333333332,91.69419539540192,9.426375,4.987941318058113,1.0,1.0,4.788302739361482,1.5465982898862782
38.5,215.37113145009417,110.18321312686295,9.47679472693032,5.115169604403252,1.2932489451476794,1.1451140776323097,4.490225093093788,2.0557879586548986
39.0,232.72439999999997,109.23298005318725,9.171600000000002,5.914398895914952,1.0,,5.914398895914952,
39.5,209.52630470914127,108.38126563887636,10.023684210526316,4.841479058327344,0.9571428571428572,1.0691417970478083,4.216004762667489,2.2228634472308832
41.0,212.98954545454544,111.38600679240669,9.428188057040998,5.247813135404237,1.2638888888888888,1.2500387590890158,4.358700655350827,2.305352589994501
41.5,222.52815384615386,99.22637120648771,10.325,3.1557241377112373,0.0,0.0,2.908563328429541,1.4485313395213035
42.0,220.61675058982135,110.41612603770844,8.942911358274351,5.364949711523597,1.5775193798449612,1.4332387282134387,4.670213771547488,2.066385723359239
42.5,202.09134108527132,109.96435335729939,10.126596899224806,5.03677023640798,1.12,1.3012814197295424,4.302572922225885,2.610673407447248
43.0,239.15033333333335,118.04847159648729,9.377,7.304881983988516,2.0,,7.304881983988516,
43.5,215.20977175463622,108.24259303450539,8.879322396576319,5.261461570044469,1.6581196581196582,1.3781696580059213,4.858008820056017,1.8758768160650334
44.0,220.2944150407946,111.5771941489797,9.128628946434906,5.288097435853956,1.5379746835443038,1.48125457917327,4.554091870029405,2.109082194042974
44.5,208.9215964912281,110.24488808101259,9.004350877192984,5.265493493665107,2.142857142857143,1.4638501094227998,5.062241809389152,1.1908736746721198
45.0,218.0311,77.77817797564501,12.0272,3.552938151883749,0.0,0.0,3.875982523977739,1.4171204715801848
46.0,264.0971666666667,86.72690963441103,8.063,4.892760558452962,1.25,0.9574271077563381,4.2091903009949885,2.6279325760866477
46.5,218.76415454545455,111.55309269936745,9.455736363636364,5.189881140202878,1.2903225806451613,1.164883682002847,4.520822917591738,2.045092942118005
47.0,223.08074488623305,112.24036538242143,8.858714318547461,5.423172691837671,1.6602739726027398,1.4970240003489204,4.701520383804897,2.031731246464625
48.0,285.35716666666667,89.80828648719819,8.710666666666667,7.052587714212895,2.0,,7.052587714212895,
48.5,171.5112,114.42619767615378,12.032,4.906850630609323,0.5,0.7071067811865476,3.6055453590955184,3.039838011561363
49.0,248.4455714285714,126.56890804861614,9.149142857142857,6.400550638514664,2.0,,6.400550638514664,
49.5,224.47958216202403,110.80493539893779,8.669541783797598,5.444911647965085,1.872,1.7152035088942292,4.69728370850951,2.0005392429893227
52.5,227.22141432677427,111.87120365926344,8.669789741322132,5.466077637145647,1.8178082191780822,1.5777814698055759,4.813281352735452,1.9618792367467157
53.0,227.73106956521738,112.48782101586072,8.925455072463768,5.426968563516846,1.5806451612903225,1.4547647784263866,4.845370588171948,1.9584859966184518
53.5,261.2585757575757,106.25825405234126,9.28860606060606,5.441682419869072,1.0,0.816496580927726,4.757415472665005,2.1492614701588786
54.0,254.25025,131.00357314619868,6.396625,5.577144659552182,4.0,,5.577144659552182,
54.5,235.28561538461537,71.3173504830562,11.645,2.6651563743990705,0.0,0.0,2.6649315721930997,1.945437381831127
55.0,223.76709615384613,107.03543954430026,8.460634615384617,4.741583610818871,2.3333333333333335,2.065591117977289,4.134238097258829,2.0888824805435
55.5,232.04004684975766,110.352567261174,8.315754765751212,5.603074549235269,2.129787234042553,1.7662332552610935,4.95028437145955,1.8868846162739894
56.0,228.8229918256131,106.823096656965,8.608061307901908,5.344963974987761,1.8448275862068966,1.801465337251689,4.431727710753763,1.9289301691667198
57.0,229.20853521126762,108.62620380416047,8.819035211267606,5.07620578054229,1.5833333333333333,1.176459931750543,4.321867886646328,2.0401952214535513
